device_name;device_id;table_id;topic;data_point_name;data_point_type;measurement_type;description
elsys-ers-co2-lite;eui-a81758fffe069904;elsysCO2_218_co2;v3/ebc-ig@ttn/devices/eui-a81758fffe069904/up;eui-a81758fffe069904_co2;float;ppm;ELS-ERSCO2-0218
elsys-ers-co2-lite;eui-a81758fffe069904;elsysCO2_218_humidity;v3/ebc-ig@ttn/devices/eui-a81758fffe069904/up;eui-a81758fffe069904_humidity;float;%;ELS-ERSCO2-0218
elsys-ers-co2-lite;eui-a81758fffe069904;elsysCO2_218_light;v3/ebc-ig@ttn/devices/eui-a81758fffe069904/up;eui-a81758fffe069904_light;float;lux;ELS-ERSCO2-0218
elsys-ers-co2-lite;eui-a81758fffe069904;elsysCO2_218_motion;v3/ebc-ig@ttn/devices/eui-a81758fffe069904/up;eui-a81758fffe069904_motion;float;None;ELS-ERSCO2-0218
elsys-ers-co2-lite;eui-a81758fffe069904;elsysCO2_218_temperature;v3/ebc-ig@ttn/devices/eui-a81758fffe069904/up;eui-a81758fffe069904_temperature;float;C;ELS-ERSCO2-0218
elsys-ers-co2-lite;eui-a81758fffe069904;elsysCO2_218_vdd;v3/ebc-ig@ttn/devices/eui-a81758fffe069904/up;eui-a81758fffe069904_vdd;float;None;ELS-ERSCO2-0218
